Time,Marker1Freq
2023-12-25 17:08:05.905495,"323701928
"
2023-12-25 17:08:06.405524,"323701928
"
2023-12-25 17:08:06.905553,"323701928
"
2023-12-25 17:08:07.405581,"323701928
"
2023-12-25 17:08:07.905610,"323701928
"
2023-12-25 17:08:08.405638,"323701928
"
2023-12-25 17:08:08.905667,"323701928
"
2023-12-25 17:08:09.405696,"323701928
"
2023-12-25 17:08:09.905724,"323701928
"
2023-12-25 17:08:10.405753,"323701928
"
2023-12-25 17:08:10.905781,"323701928
"
2023-12-25 17:08:11.405810,"323701928
"
2023-12-25 17:08:11.905839,"323701928
"
2023-12-25 17:08:12.405867,"323700308
"
2023-12-25 17:08:12.905896,"323700308
"
2023-12-25 17:08:13.405924,"323700308
"
2023-12-25 17:08:13.905953,"323700308
"
2023-12-25 17:08:14.405982,"323700308
"
2023-12-25 17:08:14.906010,"323700308
"
2023-12-25 17:08:15.406039,"323700308
"
2023-12-25 17:08:15.906067,"323700308
"
2023-12-25 17:08:16.406096,"323700308
"
2023-12-25 17:08:16.906125,"323700308
"
2023-12-25 17:08:17.406153,"323700308
"
2023-12-25 17:08:17.906182,"323700308
"
2023-12-25 17:08:18.406210,"323700308
"
2023-12-25 17:08:18.906239,"323700308
"
2023-12-25 17:08:19.406268,"323700308
"
2023-12-25 17:08:19.906296,"323700308
"
2023-12-25 17:08:20.406325,"323700308
"
2023-12-25 17:08:20.906353,"323700308
"
2023-12-25 17:08:21.406382,"323700308
"
2023-12-25 17:08:21.906411,"323700308
"
2023-12-25 17:08:22.406439,"323700308
"
2023-12-25 17:08:22.906468,"323700308
"
2023-12-25 17:08:23.406496,"323700308
"
2023-12-25 17:08:23.906525,"323700308
"
2023-12-25 17:08:24.406554,"323700308
"
2023-12-25 17:08:24.906582,"323700308
"
2023-12-25 17:08:25.406611,"323700308
"
2023-12-25 17:08:25.906639,"323700308
"
2023-12-25 17:08:26.406668,"323700308
"
2023-12-25 17:08:26.906697,"323700308
"
2023-12-25 17:08:27.406725,"323700308
"
2023-12-25 17:08:27.906754,"323702428
"
2023-12-25 17:08:28.406782,"323702428
"
2023-12-25 17:08:28.906811,"323702428
"
2023-12-25 17:08:29.406840,"323702428
"
2023-12-25 17:08:29.906868,"323702428
"
2023-12-25 17:08:30.406897,"323702428
"
2023-12-25 17:08:30.906925,"323702428
"
2023-12-25 17:08:31.406954,"323702428
"
2023-12-25 17:08:31.906983,"323702428
"
2023-12-25 17:08:32.407011,"323702428
"
2023-12-25 17:08:32.907040,"323702428
"
2023-12-25 17:08:33.407068,"323702428
"
2023-12-25 17:08:33.907097,"323702428
"
2023-12-25 17:08:34.407126,"323702428
"
2023-12-25 17:08:34.907154,"323702428
"
2023-12-25 17:08:35.407183,"323702428
"
2023-12-25 17:08:35.907211,"323702428
"
2023-12-25 17:08:36.407240,"323702428
"
2023-12-25 17:08:36.907269,"323702428
"
2023-12-25 17:08:37.416298,"323702428
"
2023-12-25 17:08:37.916326,"323702428
"
2023-12-25 17:08:38.416355,"323702428
"
2023-12-25 17:08:38.916383,"323702428
"
2023-12-25 17:08:39.416412,"323702428
"
2023-12-25 17:08:39.916441,"323702428
"
2023-12-25 17:08:40.416469,"323702428
"
2023-12-25 17:08:40.916498,"323702428
"
2023-12-25 17:08:41.416526,"323702428
"
2023-12-25 17:08:41.916555,"323702428
"
2023-12-25 17:08:42.416584,"323702428
"
2023-12-25 17:08:42.916612,"323702428
"
2023-12-25 17:08:43.416641,"323701508
"
2023-12-25 17:08:43.916669,"323701508
"
2023-12-25 17:08:44.416698,"323701508
"
2023-12-25 17:08:44.916727,"323701508
"
2023-12-25 17:08:45.416755,"323701508
"
2023-12-25 17:08:45.916784,"323701508
"
2023-12-25 17:08:46.416812,"323701508
"
2023-12-25 17:08:46.916841,"323701508
"
2023-12-25 17:08:47.416870,"323701508
"
2023-12-25 17:08:47.917898,"323701508
"
2023-12-25 17:08:48.417927,"323701508
"
2023-12-25 17:08:48.917955,"323701508
"
2023-12-25 17:08:49.417984,"323701508
"
2023-12-25 17:08:49.918013,"323701508
"
2023-12-25 17:08:50.418041,"323701508
"
2023-12-25 17:08:50.918070,"323701508
"
2023-12-25 17:08:51.418098,"323701508
"
2023-12-25 17:08:51.918127,"323701508
"
2023-12-25 17:08:52.418156,"323701508
"
2023-12-25 17:08:52.918184,"323701508
"
2023-12-25 17:08:53.418213,"323701508
"
2023-12-25 17:08:53.918241,"323701508
"
2023-12-25 17:08:54.418270,"323701508
"
2023-12-25 17:08:54.918299,"323701508
"
2023-12-25 17:08:55.418327,"323701508
"
2023-12-25 17:08:55.918356,"323701508
"
2023-12-25 17:08:56.420385,"323701508
"
2023-12-25 17:08:56.920413,"323701508
"
2023-12-25 17:08:57.420442,"323701508
"
2023-12-25 17:08:57.920470,"323701508
"
2023-12-25 17:08:58.420499,"323701508
"
2023-12-25 17:08:58.920528,"323703068
"
2023-12-25 17:08:59.420556,"323703068
"
2023-12-25 17:08:59.920585,"323703068
"
2023-12-25 17:09:00.420613,"323703068
"
2023-12-25 17:09:00.921642,"323703068
"
2023-12-25 17:09:01.421671,"323703068
"
2023-12-25 17:09:01.921699,"323703068
"
2023-12-25 17:09:02.421728,"323703068
"
2023-12-25 17:09:02.921756,"323703068
"
2023-12-25 17:09:03.421785,"323703068
"
2023-12-25 17:09:03.921814,"323703068
"
2023-12-25 17:09:04.421842,"323703068
"
2023-12-25 17:09:04.921871,"323703068
"
2023-12-25 17:09:05.421899,"323703068
"
2023-12-25 17:09:05.921928,"323703068
"
2023-12-25 17:09:06.421957,"323703068
"
2023-12-25 17:09:06.921985,"323703068
"
2023-12-25 17:09:07.422014,"323703068
"
2023-12-25 17:09:07.922042,"323703068
"
2023-12-25 17:09:08.422071,"323703068
"
2023-12-25 17:09:08.922100,"323703068
"
2023-12-25 17:09:09.423128,"323703068
"
2023-12-25 17:09:09.923157,"323703068
"
2023-12-25 17:09:10.423186,"323703068
"
2023-12-25 17:09:10.923214,"323703068
"
2023-12-25 17:09:11.423243,"323703068
"
2023-12-25 17:09:11.923271,"323703068
"
2023-12-25 17:09:12.424300,"323703068
"
2023-12-25 17:09:12.924329,"323703068
"
2023-12-25 17:09:13.424357,"323703068
"
2023-12-25 17:09:13.924386,"323703068
"
2023-12-25 17:09:14.424414,"323702428
"
2023-12-25 17:09:14.924443,"323702428
"
2023-12-25 17:09:15.424472,"323702428
"
2023-12-25 17:09:15.924500,"323702428
"
2023-12-25 17:09:16.424529,"323702428
"
2023-12-25 17:09:16.924557,"323702428
"
2023-12-25 17:09:17.424586,"323702428
"
2023-12-25 17:09:17.924615,"323702428
"
2023-12-25 17:09:18.424643,"323702428
"
2023-12-25 17:09:18.924672,"323702428
"
2023-12-25 17:09:19.424700,"323702428
"
2023-12-25 17:09:19.924729,"323702428
"
2023-12-25 17:09:20.424758,"323702428
"
2023-12-25 17:09:20.924786,"323702428
"
2023-12-25 17:09:21.424815,"323702428
"
2023-12-25 17:09:21.924843,"323702428
"
2023-12-25 17:09:22.424872,"323702428
"
2023-12-25 17:09:22.926901,"323702428
"
2023-12-25 17:09:23.426929,"323702428
"
2023-12-25 17:09:23.926958,"323702428
"
2023-12-25 17:09:24.426986,"323702428
"
2023-12-25 17:09:24.927015,"323702428
"
2023-12-25 17:09:25.427044,"323702428
"
2023-12-25 17:09:25.927072,"323702428
"
2023-12-25 17:09:26.427101,"323702428
"
2023-12-25 17:09:26.927129,"323702428
"
2023-12-25 17:09:27.427158,"323702428
"
2023-12-25 17:09:27.927187,"323702428
"
2023-12-25 17:09:28.427215,"323702428
"
2023-12-25 17:09:28.927244,"323702428
"
2023-12-25 17:09:29.427272,"323702428
"
2023-12-25 17:09:29.927301,"323702428
"
2023-12-25 17:09:30.427330,"323701868
"
2023-12-25 17:09:30.927358,"323701868
"
2023-12-25 17:09:31.427387,"323701868
"
2023-12-25 17:09:31.928416,"323701868
"
2023-12-25 17:09:32.428444,"323701868
"
2023-12-25 17:09:32.928473,"323701868
"
2023-12-25 17:09:33.428501,"323701868
"
2023-12-25 17:09:33.928530,"323701868
"
2023-12-25 17:09:34.428559,"323701868
"
2023-12-25 17:09:34.928587,"323701868
"
2023-12-25 17:09:35.428616,"323701868
"
2023-12-25 17:09:35.928644,"323701868
"
2023-12-25 17:09:36.428673,"323701868
"
2023-12-25 17:09:36.928702,"323701868
"
2023-12-25 17:09:37.428730,"323701868
"
2023-12-25 17:09:37.928759,"323701868
"
2023-12-25 17:09:38.428787,"323701868
"
